Interview_ID,Cohort,DMA,HOH_Age_Band,N_Kids,Income_Band,Themes,Chocolate_Mention_Flag,Chocolate_Unprompted_Flag,Duration_Min,Transcript_Path,Notes,Wave,Field_Date,Vendor
UA-IH-01,price-shopper,US-NE,51-58,0,50-75K,stockpile;price-anchored;promo-aware,0,0,51,_qual/2026-04-ua/in-home-01-price-shopper-US-NE.txt,"In-home 1: HOH 51-58, 0 kid(s), 50-75K, price shopper, themes: stockpile, price-anchored, promo-aware",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-02,protein-returner,US-NE,43-50,1,50-75K,Whoop-fitness;protein-led-return;morning-routine,0,0,89,_qual/2026-04-ua/in-home-02-protein-returner-US-NE.txt,"In-home 2: HOH 43-50, 1 kid(s), 50-75K, protein returner, themes: Whoop-fitness, protein-led-return, morning-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-03,cereal-skipper,US-MW,28-35,2,150K+,GLP-1-context;bar-replacement;kids-eat-different,0,0,76,_qual/2026-04-ua/in-home-03-cereal-skipper-US-MW.txt,"In-home 3: HOH 28-35, 2 kid(s), 150K+, cereal skipper, themes: GLP-1-context, bar-replacement, kids-eat-different",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-04,cereal-skipper,US-NE,36-42,0,100-150K,protein-swap;GLP-1-context;time-pressure,0,0,91,_qual/2026-04-ua/in-home-04-cereal-skipper-US-NE.txt,"In-home 4: HOH 36-42, 0 kid(s), 100-150K, cereal skipper, themes: protein-swap, GLP-1-context, time-pressure",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-05,cereal-skipper,US-SE,28-35,1,150K+,GLP-1-context;kids-eat-different;protein-swap,0,0,74,_qual/2026-04-ua/in-home-05-cereal-skipper-US-SE.txt,"In-home 5: HOH 28-35, 1 kid(s), 150K+, cereal skipper, themes: GLP-1-context, kids-eat-different, protein-swap",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-06,loyal-family,US-SE,43-50,0,50-75K,kids-eat-cereal;value-perception;family-routine,0,0,92,_qual/2026-04-ua/in-home-06-loyal-family-US-SE.txt,"In-home 6: HOH 43-50, 0 kid(s), 50-75K, loyal family, themes: kids-eat-cereal, value-perception, family-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-07,cereal-skipper,LAX,51-58,2,<50K,protein-swap;time-pressure;bar-replacement,1,0,55,_qual/2026-04-ua/in-home-07-cereal-skipper-LAX.txt,"In-home 7: HOH 51-58, 2 kid(s), <50K, cereal skipper, themes: protein-swap, time-pressure, bar-replacement",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-08,price-shopper,US-NE,28-35,1,50-75K,stockpile;promo-aware;private-label-try,0,0,92,_qual/2026-04-ua/in-home-08-price-shopper-US-NE.txt,"In-home 8: HOH 28-35, 1 kid(s), 50-75K, price shopper, themes: stockpile, promo-aware, private-label-try",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-09,price-shopper,NYC,43-50,2,50-75K,price-anchored;stockpile;stretch-budget,0,0,61,_qual/2026-04-ua/in-home-09-price-shopper-NYC.txt,"In-home 9: HOH 43-50, 2 kid(s), 50-75K, price shopper, themes: price-anchored, stockpile, stretch-budget",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-10,loyal-family,CHI,36-42,3,<50K,brand-trust;value-perception;shelf-habit,0,0,85,_qual/2026-04-ua/in-home-10-loyal-family-CHI.txt,"In-home 10: HOH 36-42, 3 kid(s), <50K, loyal family, themes: brand-trust, value-perception, shelf-habit",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-11,cereal-skipper,CHI,43-50,2,100-150K,protein-swap;time-pressure;GLP-1-context,0,0,60,_qual/2026-04-ua/in-home-11-cereal-skipper-CHI.txt,"In-home 11: HOH 43-50, 2 kid(s), 100-150K, cereal skipper, themes: protein-swap, time-pressure, GLP-1-context",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-12,loyal-family,US-MW,36-42,1,75-100K,value-perception;kids-eat-cereal;family-routine,0,0,72,_qual/2026-04-ua/in-home-12-loyal-family-US-MW.txt,"In-home 12: HOH 36-42, 1 kid(s), 75-100K, loyal family, themes: value-perception, kids-eat-cereal, family-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-13,cereal-skipper,CHI,36-42,0,150K+,bar-replacement;protein-swap;kids-eat-different,1,1,87,_qual/2026-04-ua/in-home-13-cereal-skipper-CHI.txt,"In-home 13: HOH 36-42, 0 kid(s), 150K+, cereal skipper, themes: bar-replacement, protein-swap, kids-eat-different",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-14,price-shopper,LAX,28-35,2,100-150K,stretch-budget;private-label-try;price-anchored,0,0,76,_qual/2026-04-ua/in-home-14-price-shopper-LAX.txt,"In-home 14: HOH 28-35, 2 kid(s), 100-150K, price shopper, themes: stretch-budget, private-label-try, price-anchored",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-15,price-shopper,CHI,36-42,0,50-75K,price-anchored;private-label-try;stockpile,0,0,84,_qual/2026-04-ua/in-home-15-price-shopper-CHI.txt,"In-home 15: HOH 36-42, 0 kid(s), 50-75K, price shopper, themes: price-anchored, private-label-try, stockpile",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-16,protein-returner,CHI,36-42,2,150K+,protein-led-return;Whoop-fitness;clean-fuel,0,0,69,_qual/2026-04-ua/in-home-16-protein-returner-CHI.txt,"In-home 16: HOH 36-42, 2 kid(s), 150K+, protein returner, themes: protein-led-return, Whoop-fitness, clean-fuel",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-17,loyal-family,DAL,43-50,2,75-100K,shelf-habit;kids-eat-cereal;value-perception,0,0,63,_qual/2026-04-ua/in-home-17-loyal-family-DAL.txt,"In-home 17: HOH 43-50, 2 kid(s), 75-100K, loyal family, themes: shelf-habit, kids-eat-cereal, value-perception",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-18,protein-returner,US-MT,36-42,0,50-75K,morning-routine;clean-fuel;Whoop-fitness,0,0,89,_qual/2026-04-ua/in-home-18-protein-returner-US-MT.txt,"In-home 18: HOH 36-42, 0 kid(s), 50-75K, protein returner, themes: morning-routine, clean-fuel, Whoop-fitness",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-19,protein-returner,US-SE,51-58,3,100-150K,less-sugar-want;morning-routine;protein-led-return,1,1,88,_qual/2026-04-ua/in-home-19-protein-returner-US-SE.txt,"In-home 19: HOH 51-58, 3 kid(s), 100-150K, protein returner, themes: less-sugar-want, morning-routine, protein-led-return",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-20,price-shopper,US-NE,43-50,2,150K+,stretch-budget;promo-aware;private-label-try,0,0,67,_qual/2026-04-ua/in-home-20-price-shopper-US-NE.txt,"In-home 20: HOH 43-50, 2 kid(s), 150K+, price shopper, themes: stretch-budget, promo-aware, private-label-try",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-21,protein-returner,LAX,51-58,2,<50K,clean-fuel;Whoop-fitness;morning-routine,0,0,52,_qual/2026-04-ua/in-home-21-protein-returner-LAX.txt,"In-home 21: HOH 51-58, 2 kid(s), <50K, protein returner, themes: clean-fuel, Whoop-fitness, morning-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-22,protein-returner,US-MT,36-42,2,50-75K,protein-led-return;Whoop-fitness;morning-routine,1,0,87,_qual/2026-04-ua/in-home-22-protein-returner-US-MT.txt,"In-home 22: HOH 36-42, 2 kid(s), 50-75K, protein returner, themes: protein-led-return, Whoop-fitness, morning-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-23,cereal-skipper,LAX,28-35,1,75-100K,kids-eat-different;bar-replacement;time-pressure,0,0,69,_qual/2026-04-ua/in-home-23-cereal-skipper-LAX.txt,"In-home 23: HOH 28-35, 1 kid(s), 75-100K, cereal skipper, themes: kids-eat-different, bar-replacement, time-pressure",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-24,loyal-family,NYC,51-58,3,100-150K,brand-trust;kids-eat-cereal;family-routine,0,0,68,_qual/2026-04-ua/in-home-24-loyal-family-NYC.txt,"In-home 24: HOH 51-58, 3 kid(s), 100-150K, loyal family, themes: brand-trust, kids-eat-cereal, family-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-25,protein-returner,DAL,43-50,1,50-75K,clean-fuel;Whoop-fitness;less-sugar-want,0,0,61,_qual/2026-04-ua/in-home-25-protein-returner-DAL.txt,"In-home 25: HOH 43-50, 1 kid(s), 50-75K, protein returner, themes: clean-fuel, Whoop-fitness, less-sugar-want",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-26,protein-returner,US-MT,51-58,0,100-150K,morning-routine;clean-fuel;protein-led-return,0,0,66,_qual/2026-04-ua/in-home-26-protein-returner-US-MT.txt,"In-home 26: HOH 51-58, 0 kid(s), 100-150K, protein returner, themes: morning-routine, clean-fuel, protein-led-return",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-27,protein-returner,LAX,28-35,0,100-150K,less-sugar-want;Whoop-fitness;protein-led-return,1,0,89,_qual/2026-04-ua/in-home-27-protein-returner-LAX.txt,"In-home 27: HOH 28-35, 0 kid(s), 100-150K, protein returner, themes: less-sugar-want, Whoop-fitness, protein-led-return",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-28,cereal-skipper,LAX,36-42,1,150K+,kids-eat-different;time-pressure;bar-replacement,0,0,54,_qual/2026-04-ua/in-home-28-cereal-skipper-LAX.txt,"In-home 28: HOH 36-42, 1 kid(s), 150K+, cereal skipper, themes: kids-eat-different, time-pressure, bar-replacement",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-29,loyal-family,LAX,43-50,0,50-75K,brand-trust;value-perception;shelf-habit,0,0,64,_qual/2026-04-ua/in-home-29-loyal-family-LAX.txt,"In-home 29: HOH 43-50, 0 kid(s), 50-75K, loyal family, themes: brand-trust, value-perception, shelf-habit",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-30,loyal-family,US-SE,36-42,2,<50K,brand-trust;family-routine;kids-eat-cereal,0,0,84,_qual/2026-04-ua/in-home-30-loyal-family-US-SE.txt,"In-home 30: HOH 36-42, 2 kid(s), <50K, loyal family, themes: brand-trust, family-routine, kids-eat-cereal",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-31,loyal-family,NYC,51-58,2,150K+,shelf-habit;family-routine;brand-trust,0,0,91,_qual/2026-04-ua/in-home-31-loyal-family-NYC.txt,"In-home 31: HOH 51-58, 2 kid(s), 150K+, loyal family, themes: shelf-habit, family-routine, brand-trust",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-32,loyal-family,NYC,51-58,0,100-150K,family-routine;kids-eat-cereal;brand-trust,0,0,92,_qual/2026-04-ua/in-home-32-loyal-family-NYC.txt,"In-home 32: HOH 51-58, 0 kid(s), 100-150K, loyal family, themes: family-routine, kids-eat-cereal, brand-trust",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-33,loyal-family,US-SE,51-58,2,75-100K,kids-eat-cereal;value-perception;family-routine,0,0,53,_qual/2026-04-ua/in-home-33-loyal-family-US-SE.txt,"In-home 33: HOH 51-58, 2 kid(s), 75-100K, loyal family, themes: kids-eat-cereal, value-perception, family-routine",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-34,cereal-skipper,LA-DMA,43-50,0,50-75K,bar-replacement;GLP-1-context;protein-swap,1,1,68,_qual/2026-04-ua/in-home-34-cereal-skipper-LA-DMA.txt,"In-home 34: HOH 43-50, 0 kid(s), 50-75K, cereal skipper, themes: bar-replacement, GLP-1-context, protein-swap",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-35,protein-returner,US-SE,51-58,2,50-75K,protein-led-return;Whoop-fitness;clean-fuel,0,0,60,_qual/2026-04-ua/in-home-35-protein-returner-US-SE.txt,"In-home 35: HOH 51-58, 2 kid(s), 50-75K, protein returner, themes: protein-led-return, Whoop-fitness, clean-fuel",2026Q2,2026-04-08,Ipsos qual partner
UA-IH-36,cereal-skipper,US-MT,36-42,0,150K+,protein-swap;bar-replacement;kids-eat-different,0,0,52,_qual/2026-04-ua/in-home-36-cereal-skipper-US-MT.txt,"In-home 36: HOH 36-42, 0 kid(s), 150K+, cereal skipper, themes: protein-swap, bar-replacement, kids-eat-different",2026Q2,2026-04-08,Ipsos qual partner
