Brand,DMA,Wave,Wave_Close_Date,Attribute,Top_Two_Box_Pct,N_Respondents,Source,Methodology_Note
Crunchwell,US-NAT,FY25Q1,2025-03-15,Trust,72.3,186,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q1,2025-03-15,Relevance,68.6,242,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-NAT,FY25Q1,2025-03-15,Quality,69.3,206,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q1,2025-03-15,Taste,74.4,319,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q1,2025-03-15,Modernity,51.0,288,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-NAT,FY25Q2,2025-06-15,Trust,70.9,203,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q2,2025-06-15,Relevance,66.3,309,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-NAT,FY25Q2,2025-06-15,Quality,70.2,230,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q2,2025-06-15,Taste,74.5,319,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q2,2025-06-15,Modernity,51.3,294,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-NAT,FY25Q3,2025-09-15,Trust,72.2,181,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q3,2025-09-15,Relevance,66.6,220,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-NAT,FY25Q3,2025-09-15,Quality,70.5,267,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q3,2025-09-15,Taste,73.5,235,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q3,2025-09-15,Modernity,52.1,266,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-NAT,FY25Q4,2025-12-15,Trust,71.0,277,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q4,2025-12-15,Relevance,64.0,268,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-NAT,FY25Q4,2025-12-15,Quality,70.2,191,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q4,2025-12-15,Taste,74.6,317,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY25Q4,2025-12-15,Modernity,49.6,276,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-NAT,FY26Q1,2026-03-15,Trust,71.0,255,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY26Q1,2026-03-15,Relevance,64.8,272,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-NAT,FY26Q1,2026-03-15,Quality,70.2,197,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY26Q1,2026-03-15,Taste,72.9,238,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY26Q1,2026-03-15,Modernity,50.7,200,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-NAT,FY26Q2,2026-06-15,Trust,72.9,205,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY26Q2,2026-06-15,Relevance,62.7,296,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-NAT,FY26Q2,2026-06-15,Quality,70.3,273,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY26Q2,2026-06-15,Taste,73.2,270,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-NAT,FY26Q2,2026-06-15,Modernity,48.8,248,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Trust,70.5,198,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Relevance,66.3,223,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Quality,68.1,242,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Taste,71.2,277,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Modernity,49.4,236,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Trust,70.4,194,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Relevance,64.3,188,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Quality,68.7,282,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Taste,71.4,234,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Modernity,50.5,260,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Trust,69.3,307,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Relevance,63.7,297,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Quality,67.1,215,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Taste,71.4,317,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
