period,brand,channel,sub_channel,spend_kusd,impressions_mln,reach_mln,grp_or_clicks,notes
2025-Q1,Crunchwell,Linear TV,National Network,4800,1240,42,420 GRP,Mass-market awareness
2025-Q1,Crunchwell,Connected TV,Roku Hulu,1900,520,18,N/A,Households w kids targeting
2025-Q1,Crunchwell,Digital Display,Programmatic,1100,890,21,N/A,
2025-Q1,Crunchwell,Paid Social,Meta,1400,1840,29,N/A,Mom 35-49
2025-Q1,Crunchwell,Paid Social,TikTok,420,510,12,N/A,Tested but limited
2025-Q1,Crunchwell,Retail Media,Walmart Connect,1800,210,N/A,N/A,Sponsored search and display
2025-Q1,Crunchwell,Retail Media,Roundel Target,920,140,N/A,N/A,
2025-Q1,Crunchwell,Retail Media,Amazon Ads,640,180,N/A,N/A,
2025-Q1,Crunchwell,Search,Google,380,N/A,N/A,2.4M clicks,Branded mostly
2025-Q1,Crunchwell,Influencer,Macro,180,42,4,N/A,Mom influencers
2025-Q2,Crunchwell,Linear TV,National Network,5100,1320,44,440 GRP,
2025-Q2,Crunchwell,Connected TV,Roku Hulu,2100,580,20,N/A,
2025-Q2,Crunchwell,Digital Display,Programmatic,1200,940,22,N/A,
2025-Q2,Crunchwell,Paid Social,Meta,1500,1980,31,N/A,
2025-Q2,Crunchwell,Retail Media,Walmart Connect,2000,230,N/A,N/A,Holiday push prep
2025-Q3,Crunchwell,Linear TV,National Network,5500,1410,46,460 GRP,Back to school
2025-Q3,Crunchwell,Connected TV,Roku Hulu,2300,640,22,N/A,
2025-Q3,Crunchwell,Retail Media,Walmart Connect,2400,280,N/A,N/A,Modular reset transition
2025-Q4,Crunchwell,Linear TV,National Network,4200,1080,38,380 GRP,
2025-Q4,Crunchwell,Retail Media,Walmart Connect,1700,200,N/A,N/A,
2026-Q1,Crunchwell,Linear TV,National Network,4400,1140,40,400 GRP,Brand defense
2026-Q1,Crunchwell,Retail Media,Walmart Connect,1800,210,N/A,N/A,
2026-Q1,Crunchwell,Retail Media,Roundel Target,950,150,N/A,N/A,
2025-Q1,ProteinPeak,Connected TV,Roku Hulu,1100,290,9,N/A,Wellness target
2025-Q1,ProteinPeak,Paid Social,Meta,1300,1640,18,N/A,Active adults 25-44
2025-Q1,ProteinPeak,Paid Social,TikTok,1100,1420,16,N/A,Fitness creator focus
2025-Q1,ProteinPeak,Retail Media,Roundel Target,1400,180,N/A,N/A,Hero account
2025-Q1,ProteinPeak,Retail Media,Amazon Ads,1200,260,N/A,N/A,
2025-Q1,ProteinPeak,Influencer,Macro,440,68,5,N/A,Fitness influencers
2025-Q1,ProteinPeak,Influencer,Micro,160,28,2,N/A,
2026-Q1,ProteinPeak,Connected TV,Roku Hulu,1400,360,11,N/A,Pre-launch new flavors
2026-Q1,ProteinPeak,Paid Social,TikTok,1700,2180,21,N/A,
2026-Q1,ProteinPeak,Influencer,Macro,640,98,7,N/A,Athlete partnership
2025-Q1,TrailGrove,Connected TV,Roku Hulu,580,150,5,N/A,
2025-Q1,TrailGrove,Paid Social,Meta,820,1080,14,N/A,
2025-Q1,TrailGrove,Retail Media,Amazon Ads,420,90,N/A,N/A,
2025-Q1,RootDay,Paid Social,Meta,420,520,7,N/A,
2025-Q1,RootDay,Paid Social,TikTok,380,460,6,N/A,
2025-Q1,RootDay,Influencer,Micro,140,22,2,N/A,Wellness creators
2025-Q1,MorningOats,Linear TV,National Network,420,110,4,40 GRP,
2025-Q1,HoneyNest,Linear TV,Kids Network,720,180,6,55 GRP,Saturday morning
2025-Q1,HoneyNest,Connected TV,Hulu,340,90,3,N/A,
