concept_id,concept_name,brand,category,stage_gate,planned_launch_date,projected_revenue_year1_musd,confidence_score_0to1,lead_owner,target_consumer_need,whitespace_thesis,status,linked_research,notes
INV001,Crunchwell Pack Refresh - Hero SKUs,Crunchwell,RTE Cereal,Stage-5 Launch Prep,2026-08-15,28.0,0.82,Audrey Kim + Lillian Park,Re-energize the franchise; visual modernization,Foundational; LA recovery anchor,On-Track,Suzy Q2 2026 pack test n=400; Kantar tracker baseline,Tied to LA recovery plan Leg 3
INV002,Crunchwell Hispanic Format - Maiz Crunch,Crunchwell,RTE Cereal,Stage-2 Concept,2027-Q1,12.0,0.46,Lillian Park,Hispanic HH cereal repertoire (sweet corn-flake format),Acme has 4.1% Crunchwell penetration in Hispanic HH vs 11.7% non-Hispanic; LA Hispanic pop +9% in 2024-2025,On-Track,Numerator Hispanic HH analysis Q1 2026; Census ACS,Tied to LA decline H4
INV003,ProteinPeak Cinnamon Crunch,ProteinPeak,RTE Cereal,Stage-5 Launch Prep,2026-04-20,7.5,0.74,Lillian Park,12g protein in flavor consumers want most (cinnamon),Magic Spoon and Three Wishes own this flavor in wellness-protein; ProteinPeak should too,On-Track,Suzy Q4 2025 flavor screen n=600,
INV004,ProteinPeak Cocoa Almond,ProteinPeak,RTE Cereal,Stage-4 Pre-Launch,2026-Q3,6.0,0.62,Lillian Park,12g protein + dual-flavor profile,Premium chocolate audience overlap with athletic occasion,On-Track,Suzy Q1 2026 concept test n=600,
INV005,RootDay Single-Serve Carton 8oz,RootDay,Plant-Based Milk,Stage-3 Prototype,2027-Q2,4.5,0.58,Lillian Park + Devraj Patel,Convenience occasion (gym bag fitness),Califia and Oatly own bigger format; RootDay needs portable,On-Hold,Internal user journey research Q3 2025,
INV006,RootDay Coffee Creamer 16oz,RootDay,Plant-Based Milk,Stage-2 Concept,2027-Q3,3.8,0.42,Lillian Park,Coffee creamer occasion,Califia and Silk own coffee creamer; oat creamer is whitespace,On-Track,Spate keyword data Q1 2026,
INV007,HoneyNest Birthday Cake LTO,HoneyNest,RTE Cereal,Stage-4 Pre-Launch,2026-Q4,2.4,0.68,Lillian Park,Limited-time excitement / nostalgia,Limited-edition buzz;competing with Bear Naked LTO,On-Track,Suzy Q1 2026 LTO test,
INV008,MorningOats Overnight Banana,MorningOats,Hot Cereal,Stage-3 Prototype,2027-Q1,2.1,0.54,Lillian Park,Refrigerator-ready overnight occasion,MO008 Vanilla launching slow; banana extension if hits,On-Track,Internal U&A,
INV009,TrailGrove Bites - Yogurt Coated,TrailGrove,Bar,Stage-2 Concept,2027-Q2,3.6,0.48,Lillian Park,Snacking occasion (kid lunchbox),KIND owns this with Bites;TrailGrove in;,On-Track,Spate keyword research,
INV010,Crunchwell Original - High Fiber Variant,Crunchwell,RTE Cereal,Stage-1 Idea,2028-Q1,5.0,0.32,Lillian Park,Heart-health cereal occasion,Cheerios owns heart health; Crunchwell could co-own with high fiber,Pre-Stage-Gate,Mintel macro,
INV011,Crunchwell Granola Cluster Mix,Crunchwell,Granola,Stage-2 Concept,2027-Q3,4.2,0.38,Lillian Park,Adult cereal-as-granola occasion,Crunchwell brand extension; crowded category,On-Hold,Internal exploration,
INV012,ProteinPeak Bars - 12g protein,ProteinPeak,Bar,Stage-1 Idea,2028-Q2,8.0,0.28,Lillian Park,Convenience protein bar,Crowded vs RXBAR/Quest;but ProteinPeak permission to play,Pre-Stage-Gate,Mintel macro,
INV013,RootDay Yogurt Smoothie,RootDay,Plant-Based Yogurt,Stage-1 Idea,2028-Q3,6.0,0.22,Lillian Park + Sarah-J,Plant-based yogurt format,Major category extension; competitive with Forager and Lavva,Pre-Stage-Gate,Macro foodservice trends,
INV014,TrailGrove Trail Mix Hispanic Format - Mango Chile,TrailGrove,Trail Mix,Stage-2 Concept,2027-Q2,2.4,0.34,Lillian Park,Hispanic snacking format,Companion to INV002 Hispanic strategy,On-Track,Datassential foodservice,
INV015,HoneyNest Plus Whole Grain - Heart Health Kid Range,HoneyNest,RTE Cereal,Stage-1 Idea,2028-Q1,4.0,0.31,Lillian Park,Mom-targeted health permission,Crowded with Cheerios kid;parental sub-segment,Pre-Stage-Gate,Macro,
INV016,MorningOats Cup Pumpkin Spice LTO,MorningOats,Hot Cereal,Stage-4 Pre-Launch,2026-Q3,1.8,0.72,Lillian Park,Seasonal occasion,Repeat success of Cinnamon Roll,On-Track,Internal LTO data,
INV017,Crunchwell Single-Serve Cup - Refresh,Crunchwell,RTE Cereal,Stage-2 Concept,2027-Q3,3.2,0.42,Lillian Park,Travel + dorm convenience,CR008 underperforming;refresh formats,On-Track,Internal,
INV018,RootDay Half-Gallon - Non-Refrigerated,RootDay,Plant-Based Milk,Stage-1 Idea,2028-Q2,5.5,0.38,Lillian Park + Devraj,Pantry shelf-stable plant milk,DTC-favorable format,Pre-Stage-Gate,Internal,
INV019,Crunchwell Mega Family Pack 36oz,Crunchwell,RTE Cereal,Stage-3 Prototype,2027-Q1,8.5,0.62,Lillian Park,Club channel value tier,Costco/Sam's value occasion,On-Track,Costco buyer feedback Q1 2026,
INV020,ProteinPeak Mini Cups Six-Pack,ProteinPeak,RTE Cereal,Stage-2 Concept,2027-Q4,3.4,0.41,Lillian Park,Office snack;take-anywhere,On-Track,Internal,
INV021,TrailGrove Granola Single-Serve Cups,TrailGrove,Granola,Stage-2 Concept,2027-Q4,2.9,0.36,Lillian Park,Convenience granola format,On-Track,Internal,
INV022,Crunchwell Cinnamon Twist - Reformulation,Crunchwell,RTE Cereal,Stage-3 Prototype,2026-Q4,Recovery,0.52,Lillian Park,Underperforming SKU rescue,CR006 launched 2025 at 41% ACV; reformulate or delist Q3 2026,On-Track,Bazaarvoice review topic mining,Tied to negative review themes
INV023,RootDay Coconut Blend - Discontinue,RootDay,Plant-Based Milk,Stage-Final Discontinue,2026-Q3,N/A,N/A,Lillian Park,Underperformance,RD008 launched 2025;11% ACV; flag for discontinuation,Discontinue-Plan,Internal,Likely cut Q3 2026
INV024,HoneyNest Granola Crunch - Discontinue,HoneyNest,RTE Cereal,Stage-Final Discontinue,2026-Q3,N/A,N/A,Lillian Park,Tail-SKU cleanup,HN011 18% ACV;delist scheduled,Confirmed-Discontinue,Internal,
INV025,HoneyNest Cookie Dough - Discontinue,HoneyNest,RTE Cereal,Stage-Final Discontinue,2026-Q3,N/A,N/A,Lillian Park,Tail-SKU cleanup,HN012 12% ACV; delist scheduled,Confirmed-Discontinue,Internal,
