creator_id,handle,platform,followers,niche,tier,gender,age_band,audience_skew_age,audience_skew_gender,audience_skew_region,base_post_rate_usd,partnered_with,acme_partnership_status,notes
CR-0001,@morningmaven,Instagram,1820000,Lifestyle / Mom,Macro,F,35-44,25-44,F-78,US-Midwest,18000,General Mills;Post Foods;Honey Nut Cheerios,None,Top mom-lifestyle voice; slot competitive
CR-0002,@thehealthyhustle,Instagram,920000,Wellness / Fitness,Macro,F,28-34,25-44,F-72,US-CA,8500,Magic Spoon;Bear Naked;ProteinPeak,Active-Q1-2026,Acme partner via ProteinPeak; Sage Park alumni
CR-0003,@cerealboiii,TikTok,2400000,Food / Reviews,Macro,M,18-24,18-34,M-58,US-NE,12000,Cheerios;Frosted Flakes;Magic Spoon,None,Reviews cereal launches; high reach low EMV per impression
CR-0004,@tinyplates,TikTok,640000,Food / Mom,Mid,F,28-34,25-44,F-82,US-Southeast,4200,Honey Bunches Oats;Cheerios,None,Drove Honey Bunches viral wave Q4 2025
CR-0005,@fuelwithpriya,Instagram,310000,Wellness / Athletics,Mid,F,25-34,18-34,F-65,US-W,2800,Three Wishes;Catalina Crunch,None,Wellness audience overlap with ProteinPeak
CR-0006,@dadcooks_,YouTube,1450000,Family / Cooking,Macro,M,35-44,25-44,M-52,National,16000,Crunchwell;Cheerios;Quaker,Active-FY26,Acme partner via Crunchwell; pack refresh tie-in planned
CR-0007,@gymrat.miles,Instagram,2100000,Fitness / Athletics,Macro,M,25-34,18-34,M-78,National,22000,ProteinPeak;Magic Spoon;RXBAR,Active-Q1-2026,Sage Park ambassador (athletic dual)
CR-0008,@mom_of_three_madison,Instagram,485000,Family / Mom,Mid,F,35-44,25-44,F-88,US-Midwest,3400,HoneyNest;Honey Bunches Oats,Active-Q1-2026,HoneyNest Cocoa Buzz partner; Acme content
CR-0009,@plantbasedwithjune,TikTok,1280000,Plant-Based / Wellness,Macro,F,28-34,18-34,F-74,US-W,11000,Califia;Oatly;RootDay,Active-FY26,RootDay barista partner Q1-Q2 2026
CR-0010,@quickbreakfasts,TikTok,820000,Food / Quick Recipes,Mid,F,25-34,18-44,F-72,US-NE,5800,MorningOats;Quaker,Active-FY26,MorningOats overnight oats partner
CR-0011,@trailmixxx,Instagram,540000,Outdoor / Adventure,Mid,M,28-34,25-44,M-62,US-Mountain,3800,TrailGrove;KIND;Cliff Bar,Active-FY26,TrailGrove ambassador
CR-0012,@sage_park_athlete,Instagram,1850000,Track / Athletics,Macro,F,25-34,18-34,F-58,National,28000,ProteinPeak,Active-Anchor,Sage Park - signature ProteinPeak athlete; Q1-Q2 2026 attribution data leverages this creator's 5 anchor posts
CR-0013,@nick_wellbeing,TikTok,720000,Wellness / Mens,Mid,M,28-34,18-44,M-66,US-W,5200,Magic Spoon;ProteinPeak;Catalina,Pitched-Q2-2026,Pitching for ProteinPeak Cinnamon Crunch launch
CR-0014,@homecookhilda,Instagram,210000,Cooking / Mom,Mid,F,35-44,25-54,F-86,US-Southeast,1800,Honey Bunches Oats;Quaker;General Mills,None,LA-DMA based; could be partner for LA recovery
CR-0015,@tasty_nola,TikTok,98000,Food / Local,Micro,F,25-34,25-44,F-72,US-Southeast,800,Honey Bunches Oats,None,New Orleans local; included Honey Bunches in viral content Q4 2025
CR-0016,@jacksupplements,Instagram,420000,Fitness / Supplements,Mid,M,25-34,18-34,M-82,National,3200,ProteinPeak;Magic Spoon;Quest,None,
CR-0017,@littlechefava,YouTube,680000,Kids / Cooking,Mid,F,35-44,25-44+kids,F-58,National,5400,HoneyNest;Cheerios;Frosted Flakes,Pitched-FY26,HoneyNest Birthday Cake pitch
CR-0018,@oatmilkdaily,Instagram,180000,Plant-Based / Coffee,Micro,F,25-34,18-34,F-68,US-W,1200,RootDay;Oatly;Califia,Active-FY26,RootDay barista regular content
CR-0019,@cerealdadventures,YouTube,1200000,Food / Travel,Macro,M,28-34,18-44,M-54,National,14000,Cheerios;Honey Bunches Oats;Frosted Flakes,None,
CR-0020,@bakedbybritt,TikTok,560000,Baking / Cereal Recipes,Mid,F,18-24,18-34,F-78,US-NE,4200,Frosted Flakes;Cheerios;HoneyNest,Active-FY26,HoneyNest cereal-bar recipe partner
CR-0021,@runnerwithprotein,Instagram,920000,Running / Athletics,Macro,M,25-34,25-44,M-72,National,9200,ProteinPeak;Quest;RXBAR,Active-Q2-2026,Sage Park cohort 2
CR-0022,@vegancyc,TikTok,340000,Cycling / Plant-Based,Mid,F,25-34,18-44,F-52,National,2800,RootDay;Oatly;Beyond,Active-FY26,RootDay athletic angle
CR-0023,@chefroche,Instagram,1620000,Cooking / Premium,Macro,M,35-44,25-54,M-48,US-NE,18000,Quaker;TrailGrove,Active-FY26,TrailGrove Maple Pecan partner
CR-0024,@katz_kitchen,TikTok,1100000,Cooking / Quick,Macro,F,28-34,18-44,F-68,National,12000,Cheerios;Honey Bunches Oats;Magic Spoon,Pitched-Q3-2026,Pack refresh outreach pending
CR-0025,@momofkindergartners,Instagram,225000,Family / Mom,Mid,F,28-34,25-44,F-92,US-Southeast,1600,HoneyNest;Frosted Flakes;Cheerios,Active-FY26,HoneyNest Cocoa Buzz attribution data Q4 2025
CR-0026,@morningprep,TikTok,460000,Quick Breakfast,Mid,F,18-24,18-34,F-74,National,3400,MorningOats;Quaker,Active-FY26,MorningOats Cup partner
CR-0027,@wellpath.jen,Instagram,820000,Wellness / Athleisure,Mid,F,28-34,25-44,F-78,National,7200,Magic Spoon;ProteinPeak;Catalina,Active-Q1-2026,ProteinPeak Berry partner
CR-0028,@cereal_renaissance,Instagram,98000,Cereal / Reviews,Micro,M,25-34,18-34,M-66,National,500,Crunchwell;Magic Spoon;Three Wishes,None,Cereal-only review niche
CR-0029,@papasoats,TikTok,840000,Hot Cereal / Recipes,Mid,M,35-44,25-54,M-58,US-Midwest,5800,MorningOats;Quaker,None,
CR-0030,@grocerytagger,TikTok,2800000,Food / Grocery,Macro,F,25-34,18-44,F-58,National,18000,Walmart;Honey Bunches Oats;Trader Joes,None,High-reach grocery review channel
CR-0031,@cheaperfamily,Instagram,560000,Family / Budget,Mid,F,35-44,25-54,F-86,US-Southeast,3800,Great Value PL;Aldi;HoneyNest,None,LA-relevant; budget angle
CR-0032,@carbcoach,Instagram,720000,Athletics / Carbs,Mid,M,28-34,25-34,M-72,National,5200,Honey Bunches Oats;Quaker;TrailGrove,Active-Q1-2026,TrailGrove Bars partner
CR-0033,@drmom_dietitian,Instagram,1240000,Wellness / Health,Macro,F,35-44,25-44,F-82,National,13000,Cheerios (heart health);ProteinPeak,Pitched-FY26,Heart-health angle for Crunchwell
CR-0034,@gulfcoasteats,TikTok,310000,Food / Local Southeast,Mid,F,28-34,25-44,F-66,US-Southeast,1800,Honey Bunches Oats;Rouses Markets,None,LA-relevant; partnered with Rouses
CR-0035,@morningroutineanalyst,YouTube,420000,Lifestyle / Productivity,Mid,M,25-34,18-34,M-62,National,3200,Magic Spoon;ProteinPeak;TrailGrove,None,
CR-0036,@granolagirls.club,Instagram,180000,Granola / Snack,Micro,F,25-34,18-34,F-78,National,1200,TrailGrove;KIND;Bear Naked,Active-FY26,
CR-0037,@papaprotein,YouTube,580000,Athletics / Family,Mid,M,35-44,25-44,M-68,National,4400,ProteinPeak;Quest;Cheerios,Pitched-Q3-2026,
CR-0038,@kidcerealcritic,YouTube,1450000,Kids / Reviews,Macro,M,7-12,Kids+Mom,M-54,National,11000,HoneyNest;Frosted Flakes;Cheerios,None,Kid-led channel; mom-oversight
CR-0039,@oat.dairy.swap,TikTok,420000,Plant-Based / Swap,Mid,F,25-34,18-44,F-72,National,3000,Califia;RootDay;Oatly,Active-FY26,RootDay swap content
CR-0040,@runfastfueled,Instagram,640000,Running / Fueling,Mid,F,25-34,18-34,F-58,National,4800,ProteinPeak;Honey Bunches Oats;Cheerios,Active-Q2-2026,Sage Park cohort 2
CR-0041,@momof2teenboys,Instagram,180000,Family / Teens,Micro,F,40-49,35-54,F-92,US-Midwest,1100,HoneyNest;Cheerios,Active-FY26,
CR-0042,@quickprotein,TikTok,1820000,Athletics / Convenience,Macro,M,25-34,18-34,M-78,National,16000,RXBAR;ProteinPeak;Quest,Active-Q2-2026,Sage Park alumni
CR-0043,@nourishedwithally,Instagram,920000,Wellness / Nutrition,Macro,F,28-34,25-44,F-72,National,8200,Magic Spoon;ProteinPeak;Catalina,Pitched-FY26,
CR-0044,@thelazycook,TikTok,640000,Cooking / Lazy,Mid,M,25-34,18-44,M-46,National,4800,Quaker;MorningOats;Cheerios,None,
CR-0045,@thrivewithtara,Instagram,1080000,Wellness / Productivity,Macro,F,28-34,25-44,F-78,National,11000,Magic Spoon;Three Wishes;ProteinPeak,Active-Q1-2026,
CR-0046,@granolaworkshop,Instagram,260000,Granola / DIY,Mid,F,25-34,25-44,F-68,National,1800,TrailGrove;KIND;Bear Naked,Active-FY26,
CR-0047,@familyfoodfinds,Pinterest,310000,Family / Recipes,Mid,F,35-44,25-54,F-94,National,1400,HoneyNest;Quaker;Cheerios,None,Pinterest skew
CR-0048,@reactorhitchhiker,YouTube,1800000,Reviews / Reactions,Macro,M,18-24,13-24,M-72,National,12000,Cheerios;Frosted Flakes;Magic Spoon,None,Gen-Z reach
CR-0049,@plantfit_jordan,Instagram,820000,Plant-Based / Fitness,Mid,F,25-34,18-34,F-62,National,6200,RootDay;Oatly;Three Wishes,Active-Q2-2026,RootDay partnership Q2 2026
CR-0050,@nolafoodieblog,TikTok,128000,Food / Local,Micro,F,28-34,25-44,F-72,US-Southeast,900,Honey Bunches Oats;Rouses Markets;Crunchwell,None,LA-relevant; local; potential LA recovery partner
