division_id,retailer_id,retailer_name,banner_division,banner_region,states_covered,dmas_covered,division_acv_share_pct,notes
WMT-S,WMT,Walmart,Walmart Division 1 - South,Walmart South,"LA;MS;AL;AR;TN;GA",LA-DMA;MS-DMA;AL-DMA;AR-DMA;ATL,18,Hit hardest by Sept 2025 cereal modular reset; LA decline epicenter
WMT-SW,WMT,Walmart,Walmart Division 2 - Southwest,Walmart Southwest,"TX;OK;NM",DAL;HOU;OK-DMA,16,Houston DC services this division; Hurricane Tonya supply impact
WMT-MW,WMT,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,"IL;IN;OH;MI;MO;KS;IA;MN;WI",CHI;DET;MIN;CIN;STL;KAN;CLE;IND,22,Crunchwell home turf; reset less aggressive
WMT-NE,WMT,Walmart,Walmart Division 4 - Northeast,Walmart Northeast,"NY;NJ;PA;MD;MA;CT",NYC;BOS;PHL;PIT;BAL;WAS,20,Crunchwell under-indexed
WMT-W,WMT,Walmart,Walmart Division 5 - West,Walmart West,"CA;WA;OR;AZ;CO;NV;UT",LAX;SEA;PHX;DEN;SFO;PDX,24,RootDay strongest; reset neutral
KR-CIN,KR,Kroger,Kroger Cincinnati,Kroger Midwest,"OH;KY;IN;TN",CIN;CLE;IND,8,Kroger HQ division; Acme cat captain status
KR-COL,KR,Kroger,Kroger Columbus,Kroger Midwest,"OH",CLE;CIN,6,Crunchwell strong
KR-ATL,KR,Kroger,Kroger Atlanta,Kroger Southeast,"GA;AL;SC;NC",ATL;AL-DMA,9,Marcus's home base division
KR-DAL,KR,Kroger,Kroger Dallas,Kroger Southwest,"TX",DAL,7,Texas competitive vs H-E-B
KR-HOU,KR,Kroger,Kroger Houston,Kroger Southwest,"TX;LA-extreme-w",HOU,5,Smaller TX division
KR-MA,KR,Kroger,Kroger Mid-Atlantic,Kroger Mid-Atlantic,"VA;WV;NC",WAS;BAL,7,Mid index
KR-MTN,KR,Kroger,Kroger Mountain,Kroger West,"CO;UT;WY",DEN,5,
KR-NSH,KR,Kroger,Kroger Nashville,Kroger Southeast,"TN;KY;AL",ATL,5,
KR-DEL,KR,Kroger,Kroger Delta,Kroger South,"TN;MS;AR;LA",MS-DMA;AR-DMA;LA-DMA,6,Limited LA presence; Rouses dominates
KR-MAR,KR,Kroger,Kroger Mariano's,Kroger Midwest,"IL",CHI,4,Premium banner in Chicago metro
KR-FM,KR,Kroger,Kroger Fred Meyer,Kroger West,"OR;WA;ID;AK",PDX;SEA,8,Hypermarket format
KR-SMI,KR,Kroger,Kroger Smith's,Kroger West,"NV;UT;NM;AZ",PHX,5,
