Transaction_ID,Date_Time,Country,Country_Code,State,DMA,City,Retail_Chain,Banner_Division,Banner_Region,Store_Type,Store_ID,Customer_ID,Product_SKU,Product_Name,Brand,Manufacturer,Product_Category,Quantity_Sold,Currency,Unit_Price_Local,Total_Sale_Amount,Discount_Percent,Final_Sale_Amount,Promotion_Type,Promotion_Flag,Payment_Method,Weekday,Month,Hour,Seasonality_Flag
TXN0000001,2025-10-16 09:47:17,United States,USA,NY,NYC,Brooklyn,Albertsons,Albertsons East,Albertsons East,Supermarket,ALB9935,C629903,CR003,Crunchwell Honey Nut 14oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,4.49,4.49,0.1,4.04,Price Off,Yes,EBT,Thursday,10,9,None
TXN0000002,2024-01-28 13:45:41,United States,USA,OK,OK-DMA,Tulsa,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,Supermarket,BRO8359,C895667,TG001,TrailGrove Honey Almond 12oz,TrailGrove,Acme Corp,Granola,1,USD,6.49,6.49,0.0,6.49,None,No,Debit Card,Sunday,1,13,None
TXN0000003,2025-12-15 12:17:09,United States,USA,NY,NYC,Queens,Albertsons,Albertsons East,Albertsons East,Supermarket,ALB2519,C733052,PP003,ProteinPeak Berry Crunch 12oz,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.0,7.49,None,No,Cash,Monday,12,12,Holiday
TXN0000004,2026-04-06 08:29:34,United States,USA,GA,ATL,Decatur,Kroger,Kroger Atlanta,Kroger Southeast,Supermarket,KRO5803,C479201,PF002,Harvest Hearth 14oz,Harvest Hearth,Larksfield Foods,RTE Cereal,2,USD,4.79,9.58,0.0,9.58,None,No,EBT,Monday,4,8,Easter
TXN0000005,2024-07-15 15:02:42,United States,USA,NY,NYC,Queens,Kroger,Kroger Mid-Atlantic,Kroger Mid-Atlantic,Supermarket,KRO4814,C766563,KL001,Frosted Flakes 13.5oz,Frosted Flakes,Kellanova,RTE Cereal,1,USD,4.59,4.59,0.0,4.59,None,No,Cash,Monday,7,15,None
TXN0000006,2024-06-15 12:13:42,United States,USA,NY,NYC,New York,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA3803,C771088,MO007,MorningOats Steel Cut 30oz,MorningOats,Acme Corp,Hot Cereal,2,USD,7.99,15.98,0.12,14.06,Loyalty,Yes,EBT,Saturday,6,12,None
TXN0000007,2024-08-12 15:53:49,United States,USA,MO,STL,St Louis,Target,Target Central,Target Central,Hypermarket,TAR6168,C623481,PP003,ProteinPeak Berry Crunch 12oz,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.1,6.74,Bundle,Yes,Mobile Pay,Monday,8,15,BackToSchool
TXN0000008,2025-10-20 12:16:08,United States,USA,NY,NYC,Jersey City,Walgreens,Walgreens National,Walgreens National,Convenience,WAL5304,C518801,GM001,Cheerios 12oz,Cheerios,General Mills,RTE Cereal,1,USD,4.29,4.29,0.0,4.29,None,No,Cash,Monday,10,12,None
TXN0000009,2024-08-12 22:08:32,United States,USA,MA,BOS,Boston,Albertsons,Albertsons East,Albertsons East,Supermarket,ALB3504,C725380,TG007,TrailGrove Bars Honey Almond,TrailGrove,Acme Corp,Bar,1,USD,5.49,5.49,0.0,5.49,None,No,Credit Card,Monday,8,22,BackToSchool
TXN0000010,2025-01-29 12:29:33,United States,USA,NY,NYC,Jersey City,Walmart,Walmart Division 4 - Northeast,Walmart Northeast,Hypermarket,WAL2876,C905934,RD001,RootDay Oat Milk Original 32oz,RootDay,Acme Corp,Plant-Based Milk,3,USD,4.99,14.97,0.0,14.97,None,No,Cash,Wednesday,1,12,None
