Review_ID,SKU,Brand,Category,Retailer,Date,Rating_1to5,Verified_Purchase,Topic_Tags,Sentiment_-1to1,Review_Length_Chars,Helpful_Votes,Source
PR_00000001,HN001,HoneyNest,RTE Cereal,Target.com,2026-05-07,4,Yes,sustainability;value,0.876,640,3,Bazaarvoice
PR_00000002,RD001,RootDay,Plant-Based Milk,Amazon,2025-11-29,5,Yes,packaging-design;athlete-fuel,0.799,180,0,Amazon Brand Analytics
PR_00000003,PF002,Harvest Hearth,RTE Cereal,Amazon,2024-08-29,5,Yes,family-occasion;health;packaging-design,0.33,60,0,Amazon Brand Analytics
PR_00000004,HN001,HoneyNest,RTE Cereal,Instacart,2025-10-08,3,Yes,ingredient-concern;stale,-0.684,120,0,Amazon Brand Analytics
PR_00000005,CR005,Crunchwell,RTE Cereal,Amazon,2024-09-16,5,Yes,convenience;athlete-fuel;taste,0.738,260,0,Amazon Brand Analytics
PR_00000006,PF001,Field & Honey,RTE Cereal,Target.com,2024-01-05,5,Yes,convenience;value;sustainability,0.254,640,1,Bazaarvoice
PR_00000007,HN001,HoneyNest,RTE Cereal,Amazon,2024-06-21,4,Yes,family-occasion,0.836,60,0,Amazon Brand Analytics
PR_00000008,RD002,RootDay,Plant-Based Milk,Amazon,2024-10-19,5,No,family-occasion;health,0.141,260,0,Amazon Brand Analytics
PR_00000009,QT001,Quaker,Hot Cereal,Walmart.com,2024-01-27,5,No,athlete-fuel,0.602,180,3,Bazaarvoice
PR_00000010,PL002,Great Value,RTE Cereal,Walmart.com,2025-01-18,4,No,health;taste;sustainability,0.506,1200,3,Bazaarvoice
PR_00000011,PP003,ProteinPeak,RTE Cereal,Walmart.com,2025-03-21,4,Yes,sustainability;health;kids-love-it,0.647,640,3,Bazaarvoice
PR_00000012,HN001,HoneyNest,RTE Cereal,Target.com,2024-09-07,4,Yes,value;kids-love-it,0.947,420,1,Bazaarvoice
PR_00000013,PF001,Field & Honey,RTE Cereal,Amazon,2026-02-02,4,Yes,health;value;family-occasion,0.782,260,0,Amazon Brand Analytics
PR_00000014,MO001,MorningOats,Hot Cereal,Kroger.com,2024-02-06,5,Yes,convenience;kids-love-it;taste,0.661,640,0,Bazaarvoice
PR_00000015,TG002,TrailGrove,Granola,Amazon,2024-01-05,4,Yes,value;kids-love-it;convenience,0.364,120,2,Amazon Brand Analytics
PR_00000016,PL001,Great Value,RTE Cereal,Amazon,2024-08-31,4,Yes,kids-love-it;sustainability;value,0.35,120,24,Amazon Brand Analytics
PR_00000017,GM001,Cheerios,RTE Cereal,Amazon,2025-02-01,4,Yes,family-occasion;convenience;athlete-fuel,0.557,120,2,Amazon Brand Analytics
PR_00000018,RD001,RootDay,Plant-Based Milk,Walmart.com,2025-08-07,4,Yes,family-occasion;packaging-design;value,0.636,1200,5,Bazaarvoice
PR_00000019,PP002,ProteinPeak,RTE Cereal,Amazon,2026-03-20,5,Yes,value;athlete-fuel;family-occasion,0.26,1200,0,Amazon Brand Analytics
PR_00000020,HN007,HoneyNest,RTE Cereal,Target.com,2025-04-23,5,No,packaging-design;taste;athlete-fuel,0.251,180,0,Bazaarvoice
PR_00000021,RD002,RootDay,Plant-Based Milk,Instacart,2025-05-15,4,Yes,packaging-design,0.105,1200,1,Amazon Brand Analytics
PR_00000022,PL002,Great Value,RTE Cereal,Amazon,2025-07-09,3,No,stale;texture-issue,-0.013,60,0,Amazon Brand Analytics
PR_00000023,TG001,TrailGrove,Granola,Target.com,2024-07-17,4,Yes,convenience;value,0.753,420,5,Bazaarvoice
PR_00000024,PL002,Great Value,RTE Cereal,Target.com,2025-10-28,5,Yes,athlete-fuel,0.214,180,2,Bazaarvoice
PR_00000025,GM002,Honey Nut Cheerios,RTE Cereal,Target.com,2026-04-15,4,Yes,kids-love-it;value;taste,0.453,820,0,Bazaarvoice
PR_00000026,MO001,MorningOats,Hot Cereal,Amazon,2024-11-26,3,Yes,pack-damage;supply-issue,-0.094,120,0,Amazon Brand Analytics
PR_00000027,GM002,Honey Nut Cheerios,RTE Cereal,Walmart.com,2024-03-15,5,Yes,athlete-fuel,0.733,260,0,Bazaarvoice
PR_00000028,CR005,Crunchwell,RTE Cereal,Target.com,2024-07-19,4,Yes,health,0.983,180,5,Bazaarvoice
PR_00000029,QT001,Quaker,Hot Cereal,Amazon,2024-02-08,3,Yes,stale;texture-issue,-0.136,420,1,Amazon Brand Analytics
PR_00000030,TG002,TrailGrove,Granola,Kroger.com,2025-06-18,5,Yes,family-occasion,0.762,260,3,Bazaarvoice
PR_00000031,PP001,ProteinPeak,RTE Cereal,Amazon,2026-03-27,4,No,taste;health,0.959,180,12,Amazon Brand Analytics
PR_00000032,RD002,RootDay,Plant-Based Milk,Instacart,2024-11-12,5,Yes,health,0.969,1200,12,Amazon Brand Analytics
PR_00000033,CR006,Crunchwell,RTE Cereal,DTC,2025-01-17,4,Yes,convenience;family-occasion,0.435,640,1,Bazaarvoice
PR_00000034,RD001,RootDay,Plant-Based Milk,Amazon,2026-04-30,4,Yes,taste,0.399,420,1,Amazon Brand Analytics
PR_00000035,GM002,Honey Nut Cheerios,RTE Cereal,Amazon,2026-01-11,3,Yes,oos;pack-damage,-0.879,260,1,Amazon Brand Analytics
PR_00000036,KL001,Frosted Flakes,RTE Cereal,Walmart.com,2024-12-13,5,Yes,athlete-fuel;taste;kids-love-it,0.18,120,1,Bazaarvoice
PR_00000037,PF001,Field & Honey,RTE Cereal,Instacart,2026-05-09,4,Yes,health;family-occasion,0.69,120,0,Amazon Brand Analytics
PR_00000038,PL002,Great Value,RTE Cereal,Walmart.com,2024-09-10,4,No,packaging-design,0.598,820,1,Bazaarvoice
PR_00000039,PL002,Great Value,RTE Cereal,Amazon,2025-07-12,4,Yes,health;family-occasion,0.88,420,0,Amazon Brand Analytics
PR_00000040,GM002,Honey Nut Cheerios,RTE Cereal,Kroger.com,2025-06-22,5,Yes,athlete-fuel;taste,0.199,1200,5,Bazaarvoice
PR_00000041,KL001,Frosted Flakes,RTE Cereal,Amazon,2024-08-24,3,No,texture-issue,-0.271,1200,12,Amazon Brand Analytics
PR_00000042,MO001,MorningOats,Hot Cereal,Kroger.com,2024-06-30,5,Yes,family-occasion;health,0.534,820,0,Bazaarvoice
PR_00000043,TG001,TrailGrove,Granola,Target.com,2024-08-09,5,Yes,packaging-design;taste;value,0.18,820,0,Bazaarvoice
PR_00000044,PL002,Great Value,RTE Cereal,Walmart.com,2025-06-05,5,Yes,sustainability;convenience;health,0.549,640,0,Bazaarvoice
PR_00000045,MO007,MorningOats,Hot Cereal,Amazon,2024-11-01,4,Yes,convenience;packaging-design;health,0.513,1200,0,Amazon Brand Analytics
PR_00000046,GM002,Honey Nut Cheerios,RTE Cereal,Walmart.com,2024-10-25,4,Yes,convenience;athlete-fuel,0.252,640,3,Bazaarvoice
PR_00000047,HN001,HoneyNest,RTE Cereal,Instacart,2024-08-13,4,Yes,health;value;convenience,0.64,640,2,Amazon Brand Analytics
PR_00000048,CR001,Crunchwell,RTE Cereal,Amazon,2025-06-30,3,No,oos,-0.772,1200,0,Amazon Brand Analytics
PR_00000049,CR007,Crunchwell,RTE Cereal,Amazon,2026-05-27,5,No,taste;health;sustainability,0.669,120,3,Amazon Brand Analytics
PR_00000050,PF002,Harvest Hearth,RTE Cereal,Amazon,2024-06-18,5,Yes,family-occasion;kids-love-it,0.814,260,3,Amazon Brand Analytics
PR_00000051,CR003,Crunchwell,RTE Cereal,Amazon,2025-02-21,5,No,athlete-fuel;sustainability;packaging-design,0.593,1200,0,Amazon Brand Analytics
PR_00000052,CR004,Crunchwell,RTE Cereal,Amazon,2025-12-11,5,Yes,sustainability;kids-love-it,0.963,180,2,Amazon Brand Analytics
PR_00000053,PF002,Harvest Hearth,RTE Cereal,Walmart.com,2025-02-10,4,Yes,health,0.363,420,0,Bazaarvoice
PR_00000054,QT001,Quaker,Hot Cereal,Target.com,2025-08-27,5,No,health,0.266,1200,1,Bazaarvoice
PR_00000055,CR003,Crunchwell,RTE Cereal,Amazon,2024-04-19,4,Yes,taste,0.745,640,1,Amazon Brand Analytics
PR_00000056,CR003,Crunchwell,RTE Cereal,Walmart.com,2024-06-28,3,Yes,out-of-stock;ingredient-concern,-0.773,60,5,Bazaarvoice
PR_00000057,PF002,Harvest Hearth,RTE Cereal,Kroger.com,2025-01-11,5,Yes,athlete-fuel,0.622,260,0,Bazaarvoice
PR_00000058,TG007,TrailGrove,Bar,Walmart.com,2025-09-27,5,Yes,convenience;health;packaging-design,0.443,640,3,Bazaarvoice
PR_00000059,GM001,Cheerios,RTE Cereal,DTC,2024-05-29,4,Yes,health;taste;kids-love-it,0.846,1200,2,Bazaarvoice
PR_00000060,QT001,Quaker,Hot Cereal,Amazon,2024-10-16,4,Yes,packaging-design;kids-love-it,0.917,260,0,Amazon Brand Analytics
PR_00000061,GM002,Honey Nut Cheerios,RTE Cereal,Amazon,2025-02-12,5,No,taste;convenience,0.873,180,1,Amazon Brand Analytics
PR_00000062,TG007,TrailGrove,Bar,DTC,2024-10-09,5,Yes,sustainability;packaging-design;value,0.43,260,1,Bazaarvoice
PR_00000063,TG002,TrailGrove,Granola,Walmart.com,2026-04-16,3,No,pack-damage;price-too-high,-0.469,260,2,Bazaarvoice
PR_00000064,GM001,Cheerios,RTE Cereal,Amazon,2026-02-20,4,Yes,packaging-design,0.327,820,0,Amazon Brand Analytics
PR_00000065,CR004,Crunchwell,RTE Cereal,Walmart.com,2025-02-24,5,No,athlete-fuel;kids-love-it;family-occasion,0.753,420,0,Bazaarvoice
PR_00000066,PF001,Field & Honey,RTE Cereal,Kroger.com,2025-02-16,5,Yes,packaging-design,0.722,120,5,Bazaarvoice
PR_00000067,QT001,Quaker,Hot Cereal,Amazon,2025-11-16,3,No,too-sweet,-0.785,420,2,Amazon Brand Analytics
PR_00000068,PF002,Harvest Hearth,RTE Cereal,Kroger.com,2026-03-19,4,Yes,value;kids-love-it;packaging-design,0.6,260,5,Bazaarvoice
PR_00000069,PP003,ProteinPeak,RTE Cereal,Kroger.com,2024-06-23,5,Yes,convenience;health,0.468,820,2,Bazaarvoice
PR_00000070,TG002,TrailGrove,Granola,Walmart.com,2025-11-29,5,No,family-occasion,0.917,1200,2,Bazaarvoice
PR_00000071,HN003,HoneyNest,RTE Cereal,Amazon,2025-06-10,5,Yes,health;convenience;sustainability,0.523,120,2,Amazon Brand Analytics
PR_00000072,RD001,RootDay,Plant-Based Milk,Kroger.com,2026-01-22,5,Yes,family-occasion,0.608,1200,0,Bazaarvoice
PR_00000073,GM001,Cheerios,RTE Cereal,DTC,2025-06-09,4,Yes,sustainability;kids-love-it;packaging-design,0.329,60,0,Bazaarvoice
PR_00000074,TG001,TrailGrove,Granola,Amazon,2024-06-17,5,Yes,value,0.948,60,0,Amazon Brand Analytics
PR_00000075,MO004,MorningOats,Hot Cereal,Target.com,2024-05-20,5,Yes,packaging-design;convenience,0.769,420,3,Bazaarvoice
PR_00000076,KL001,Frosted Flakes,RTE Cereal,Amazon,2026-03-17,4,Yes,value;convenience,0.308,120,1,Amazon Brand Analytics
PR_00000077,TG001,TrailGrove,Granola,DTC,2025-09-04,4,Yes,packaging-design;family-occasion,0.465,820,1,Bazaarvoice
PR_00000078,PF002,Harvest Hearth,RTE Cereal,Walmart.com,2025-10-24,5,Yes,taste;kids-love-it,0.748,180,0,Bazaarvoice
