launch_id,brand,manufacturer,sku_new,product_description,category,subcategory,launch_date,launch_retailers,launch_dmas,pack_oz,launch_price_usd,claim_headline,trade_support,buzz_index_day30,acv_at_launch_pct,acv_day_90_pct,acv_day_180_pct,year1_velocity_units_per_store_per_wk,status,intel_source,notes
LCH00001,Honey Bunches of Oats,Post Foods,PF-HBOA-14,Honey Bunches of Oats Almond Crunch 14oz,RTE Cereal,Family Sweet,2025-09-08,"Walmart;Kroger;Albertsons;Publix;Rouses;Brookshires","ALL;LA-DMA-priority",14,4.39,Made with whole grain almonds and a hint of honey,4-week endcap + retailer feature + digital coupon,0.78,32,54,68,9.4,Live,NielsenIQ Innovation Tracker + Numerator scan,Stealth threat to Crunchwell in Southeast; Acme should have flagged earlier
LCH00002,Cheerios,General Mills,GM-CHOC-12,Cheerios Oat Crunch Original 12oz,RTE Cereal,Family Oat,2026-01-15,"Walmart;Target;Kroger;Albertsons;Costco;Sams Club","ALL",12,4.49,Crunchier Cheerios — same heart-healthy oats,National TV + 6-wk endcap + digital,0.86,41,69,76,11.8,Live,NielsenIQ Innovation Tracker,Direct shelf-adjacency threat to Crunchwell Original Family
LCH00003,Cheerios,General Mills,GM-CHHV-12,Cheerios Honey Vanilla 12oz,RTE Cereal,Family Sweet,2025-04-21,"Walmart;Target;Kroger","ALL",12,4.49,Honey + real vanilla flavor,3-week feature,0.42,28,46,52,6.1,Live,Mintel GNPD,
LCH00004,Frosted Flakes,Kellanova,KL-FFCC-13,Frosted Flakes Cookies and Cream 13.5oz,RTE Cereal,Kids Sweet,2025-07-14,"Walmart;Target;Kroger;Albertsons","ALL",13.5,4.59,Tony's new flavor adventure,Tony the Tiger TikTok push + endcap,0.71,36,58,62,8.2,Live,Mintel GNPD,Hit HoneyNest's white space; HoneyNest Cocoa Buzz lost ~80 bps share
LCH00005,Magic Spoon,Magic Spoon,MS-MSPB-7,Magic Spoon Peanut Butter Cookie 7oz,RTE Cereal,Wellness Protein,2025-06-09,"Whole Foods;Sprouts;Target;DTC;Amazon","ALL",7,9.99,Keto. 14g protein. 0g sugar,Creator-led launch; 60 micro/macro influencers,0.92,9,18,26,3.8,Live,Spate + Tribe Dynamics,Direct ProteinPeak threat in Wellness Protein subcategory
LCH00006,Three Wishes,Three Wishes,3W-CINN-9,Three Wishes Cinnamon Grain-Free 9oz,RTE Cereal,Wellness Protein,2025-08-25,"Whole Foods;Sprouts;Target;Amazon","ALL",9,7.99,Grain-free. Plant protein. Mom-founded,Founder-led IG campaign,0.66,7,14,22,2.9,Live,Mintel GNPD,
LCH00007,Great Value,Walmart PL,PL-GVHA-14,GV Honey Almond Toasted Oats 14oz,RTE Cereal,Family Sweet,2025-08-04,"Walmart","ALL",14,2.79,Same great taste — Walmart price,Walmart-only modular expansion,0.18,86,94,96,12.6,Live,Walmart Luminate,Took Crunchwell's lost facings in Sept 2025 reset (LA decline H5)
LCH00008,Great Value,Walmart PL,PL-GVHN-14,GV Honey Nut Toasted Oats 14oz,RTE Cereal,Family Sweet,2025-08-04,"Walmart","ALL",14,2.79,Same great taste — Walmart price,Walmart-only modular expansion,0.16,84,92,95,11.2,Live,Walmart Luminate,LA decline H5 contributor
LCH00009,Quaker,PepsiCo,QT-OASS-14,Quaker Oat So Simple 14oz,RTE Cereal,Family Oat,2025-11-03,"Kroger;Albertsons;Walmart","ALL",14,4.79,Just oats. Just simple,Modest media + endcap,0.34,32,48,54,5.9,Live,Mintel GNPD,
LCH00010,Kashi,Kellanova,KL-KAGO-12,Kashi GO Crunch Berry 12oz,RTE Cereal,Wellness Protein,2025-05-20,"Whole Foods;Sprouts;Kroger;Target","ALL",12,5.99,11g protein + 9g fiber,Health & wellness retailer feature,0.48,18,28,35,4.4,Live,Mintel GNPD,
